Card Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Keywords 	Card Raw Game Text
A Little Bit of the Bubbly	Action	Core	1	0	2					Ongoing, Enters	Ongoing - Each player gets +1 Hand. Ready Enters - Choose an opponent to discard two cards. Chris Jericho Enters - Gain 3 Stamina.
Amateurs	Action	Core	8	0	4					Enters	Ready Enters - Opponent may discard a maneuver with cost 5 or greater. If they do not, they discard two cards.
Amazing Display of Power	Action	Core	0	0	2					Enters, Power Attack	Tie-Up Enters - You may play a maneuver from your hand or discard. If played from hand it gains Power Attack.
Arrive In Style	Action	Core	0	0	1					Enters	Enters - Place up to two cards from your Market beneath your Purchase Deck, replace. Draw a card and gain 1 Stamina.
Burst of Energy	Action	Core	1	0	3					Enters	Recovery Enters - Shuffle up to three cards from your discard into your draw deck. Gain 3 Stamina.
Chin Up, Tits Out	Action	Core	7	0	2			TRUE	Toni Storm	Enters	Enters - Gain 4 Stamina then choose up to one Action card and up to one Maneuver from your discard. Put one of them into your hand, you may then play the other.
Circle Opponent	Action	Core	0	0	1					Enters	Ready Enters - Draw two cards then discard a card. Tie-Up Play - Play a maneuver with cost 2 or less from your discard.
Crowd Favorite	Action	Core	4	0	0						Permanent. Action - Commit and choose one: -Gain 1 Stamina, then you may Cycle a card. OR -Attempt to Get a Pop, this loses Permanent.
Dominator's Presence	Action	Core	10	0	3			TRUE	Bobby Lashley 		
Draw Heat	Action	Core	0	0	5						
Get a Pop	Action	Core	0	0	2						Permanent.
Grinding Halt	Action	Core	6	0	3					Permanent, Ongoing	Ongoing - While uncommitted, maneuvers played from outside a player's hand non-cumulatively deal half damage, rounded up.
Heat Magnent	Action	Core	5	0	0						Permanent. Play - Draw a card. Ongoing - Your copies of Draw Heat gain Permanent.
Highly Consistent	Action	Core	6	0	2						Permanent. Ongoing - Maneuvers that share a name with a card in your ring are +2D.
I Digress	Action	Core	1	0	2					Enters	Enters - You may discard up to two cards. Place up to that many cards from your discard beneath your draw deck then draw that many cards and gain that much Stamina.
I Must Bid You Adieu	Action	Core	10	0	3			TRUE	Kenny Omega 		Enters - Opponent discards a card, you may put up to two cards from your discard beneath your draw deck, you may put up to two cards from your Market beneath your purchase deck (replace), draw a card, and gain 3 Stamina. 
Intimidate Opponent	Action	Core	1	0	2					Enters	Enters - Opponent discards a card.
Irish Whip	Action	Core	0	0	2						Ready Play - End the Ready Phase. You begin the Tie-Up, your first maneuver this Tie-Up is +1D. Tie-Up Play - Play a maneuver from your hand or discard. If that maneuver is a Strike it gets +2D.
Perpetual Offensive Motion	Action	Core	3	0	2						Follow-Up - When played after a maneuver you may play a maneuver ith less damage from your hand or discard. if that maneuver is a strike it gains "Play - Draw a card"
Purveyor of Violence 	Action	Core	8	0	4			TRUE	Jon Moxley 	Enters	Enters - Reveal your the top six cards of your draw deck and pick a card from among them. Put that card into your hand then your opponent picks a maneuver from the remaining cards, play that maneuver. Discard the cards that are left. 
Quicken the Pace	Action	Core	3	0	1					Permanent, Ongoing	Permanent. Ongoing - Each player gets +1 Hand.
Ready For a Fight	Action	Core	0	0	2					Enters	Ready Enters - Draw a card. Ongoing - Your maneuvers are +!D.
Skilled Grappler	Action	Core	3	0	1					Permanent, Ongoing	Permanent. Ongoing - Your Grapple maneuvers have Cost -1.
Skilled Striker	Action	Core	3	0	1					Permanent, Ongoing	Permanent. Ongoing - Your Strike maneuvers have Cost -1.
Skilled Submissionist 	Action	Core	3	0	1					Permanent, Ongoing	Permanent. Ongoing - Your Submission maneuvers have Cost -1.
Strategic Beatdown	Action	Core	5	0	2					Enters	Recovery Enters - Choose up to two non-response cards in your discard pile. Put up to one in your hand put the rest beneath either your draw deck or purchase deck.
Study Opponent	Action	Core	0	0	1					Enters	Enters - Draw a card, you may then Cycle a card (Discard a card to draw a card). Recovery Play - You may put a card from your Discard beneath your Purchase deck to Gain 3 Stamina.
Take a Breather	Action	Core	0	0	2					Enters	Recovery Enters - Place a card from your discard beneath your draw deck. Gain 2 Stamina.
